X,Y
311,201
310,200
308,198
306,196
298,191
296,188
291,184
286,181
285,179
280,176
277,174
276,173
274,172
272,170
270,168
266,165
262,162
259,159
256,157
252,154
250,152
249,152
246,149
242,146
239,143
236,141
235,140
233,138
226,133
225,132
210,120
207,118
194,108
190,104
186,101
182,98
178,95
175,92
174,92
170,85
167,82
163,78
159,75
152,69
148,65
144,61
141,59
134,53
130,50
127,48
124,46
120,43
117,40
114,39
110,37
107,36
104,34
101,33
98,31
95,30
92,28
89,27
86,26
83,24
80,24
77,22
74,21
72,21
69,20
66,19
64,18
61,18
59,17
56,16
54,15
51,13
48,12
46,11
43,9
40,9
36,8
33,7
